Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.706000	2.732000	6.127000	3.881000	2.325000	3.768000	
1.000000	0.099990	3.528000	4.311000	10.547000	4.340000	3.525000	5.713000	
2.000000	0.099977	3.317000	8.059000	17.157000	3.331000	11.249000	16.410000	
3.000000	0.099958	3.135000	11.624000	23.808000	3.264000	11.078000	17.261000	
4.000000	0.099935	2.906000	17.414000	32.453000	2.710000	27.555000	38.493000	
5.000000	0.099906	2.663000	24.954000	41.725000	2.722000	30.556000	35.981000	
6.000000	0.099872	2.509000	30.649000	48.016000	2.520000	35.134000	43.801000	
7.000000	0.099833	2.386000	36.211000	53.464000	2.376000	43.094000	52.634000	
8.000000	0.099789	2.306000	40.395000	56.815000	2.242000	47.435000	59.198000	
9.000000	0.099740	2.236000	43.836000	59.786000	2.124000	53.053000	62.966000	
10.000000	0.099685	2.166000	48.013000	63.302000	2.164000	49.494000	59.562000	
11.000000	0.099625	2.116000	50.291000	65.111000	2.012000	56.342000	67.220000	
12.000000	0.099561	2.065000	53.186000	67.568000	1.984000	61.105000	71.353000	
13.000000	0.099490	2.033000	54.923000	68.853000	1.968000	60.739000	70.178000	
14.000000	0.099415	1.997000	57.465000	71.104000	1.948000	61.625000	71.394000	
15.000000	0.099335	1.972000	58.908000	71.988000	1.891000	64.855000	73.298000	
16.000000	0.099249	1.949000	60.339000	72.954000	1.850000	66.630000	76.337000	
17.000000	0.099159	1.925000	62.210000	74.126000	1.869000	66.719000	74.757000	
18.000000	0.099063	1.906000	62.484000	74.568000	1.771000	71.348000	79.498000	
19.000000	0.098962	1.880000	64.278000	75.822000	1.784000	67.993000	78.444000	
20.000000	0.098856	1.855000	66.047000	76.850000	1.770000	70.646000	79.335000	
21.000000	0.098745	1.844000	66.949000	77.426000	1.776000	70.800000	78.566000	
22.000000	0.098629	1.822000	67.802000	78.351000	1.747000	70.540000	80.024000	
23.000000	0.098508	1.816000	68.181000	78.485000	1.751000	71.674000	79.254000	
24.000000	0.098381	1.809000	69.283000	79.451000	1.703000	74.668000	81.888000	
25.000000	0.098250	1.805000	68.531000	79.122000	1.727000	73.027000	81.483000	
26.000000	0.098114	1.787000	70.136000	79.790000	1.709000	74.410000	81.483000	
27.000000	0.097973	1.772000	71.571000	80.829000	1.669000	75.203000	83.671000	
28.000000	0.097826	1.765000	72.159000	81.147000	1.677000	75.887000	83.185000	
29.000000	0.097675	1.755000	71.701000	81.147000	1.709000	71.205000	80.551000	
30.000000	0.097519	1.743000	73.393000	82.299000	1.660000	77.463000	84.076000	
31.000000	0.097358	1.746000	72.909000	81.918000	1.660000	74.412000	83.063000	
32.000000	0.097192	1.727000	73.506000	82.370000	1.660000	75.068000	83.914000	
33.000000	0.097021	1.724000	74.306000	82.730000	1.636000	77.049000	85.332000	
34.000000	0.096845	1.719000	73.985000	82.648000	1.624000	80.849000	86.102000	
35.000000	0.096664	1.719000	73.555000	82.514000	1.629000	77.964000	85.211000	
36.000000	0.096479	1.723000	73.880000	82.710000	1.658000	76.421000	82.658000	
