Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.009999	2.670000	9.254000	13.121000	2.502000	13.305000	17.210000	
1.000000	0.009998	2.517000	12.174000	17.001000	2.437000	17.183000	19.847000	
2.000000	0.009995	2.469000	14.586000	19.434000	2.405000	17.175000	21.374000	
3.000000	0.009990	2.439000	15.444000	20.739000	2.395000	19.251000	22.207000	
4.000000	0.009985	2.424000	16.096000	21.316000	2.405000	19.814000	21.513000	
5.000000	0.009978	2.405000	17.215000	22.807000	2.338000	22.181000	27.863000	
6.000000	0.009970	2.349000	20.146000	27.140000	2.305000	21.755000	28.314000	
7.000000	0.009961	2.297000	21.842000	29.785000	2.254000	22.543000	32.651000	
8.000000	0.009951	2.253000	24.293000	32.582000	2.181000	28.030000	35.947000	
9.000000	0.009939	2.215000	26.385000	35.005000	2.156000	30.289000	37.266000	
10.000000	0.009926	2.200000	26.933000	35.822000	2.149000	29.308000	39.070000	
11.000000	0.009912	2.173000	28.251000	37.456000	2.109000	32.066000	40.146000	
12.000000	0.009897	2.151000	29.959000	39.409000	2.137000	30.714000	38.793000	
13.000000	0.009881	2.143000	30.586000	39.613000	2.132000	30.375000	38.966000	
14.000000	0.009863	2.135000	29.669000	38.947000	2.105000	30.810000	39.313000	
15.000000	0.009844	2.122000	31.581000	40.474000	2.074000	34.332000	42.679000	
16.000000	0.009825	2.107000	32.287000	41.486000	2.068000	36.614000	43.511000	
17.000000	0.009803	2.098000	33.190000	42.037000	2.061000	36.434000	44.067000	
18.000000	0.009781	2.087000	33.097000	42.596000	2.040000	36.633000	43.546000	
19.000000	0.009758	2.079000	34.422000	43.297000	2.074000	33.895000	41.464000	
20.000000	0.009733	2.072000	34.557000	43.679000	2.027000	37.528000	45.177000	
21.000000	0.009707	2.062000	35.196000	44.185000	2.048000	36.950000	43.754000	
22.000000	0.009680	2.056000	35.376000	44.585000	2.025000	38.111000	45.316000	
23.000000	0.009652	2.041000	36.199000	45.437000	1.988000	40.617000	47.259000	
24.000000	0.009623	2.035000	37.346000	46.724000	1.995000	37.910000	47.432000	
25.000000	0.009593	2.023000	37.451000	46.715000	1.992000	40.819000	48.092000	
26.000000	0.009561	2.012000	38.191000	47.559000	1.956000	41.367000	49.480000	
27.000000	0.009529	1.996000	39.701000	48.899000	1.965000	41.043000	48.716000	
28.000000	0.009495	1.988000	40.278000	49.450000	1.951000	41.902000	49.688000	
29.000000	0.009460	1.973000	41.053000	50.204000	1.937000	42.512000	50.798000	
30.000000	0.009425	1.972000	41.590000	50.781000	1.919000	42.505000	51.353000	
31.000000	0.009388	1.971000	41.762000	50.382000	1.908000	45.658000	53.400000	
32.000000	0.009350	1.953000	42.773000	51.838000	1.888000	47.006000	54.060000	
33.000000	0.009311	1.937000	43.484000	52.433000	1.874000	48.080000	55.552000	
34.000000	0.009271	1.925000	44.561000	53.525000	1.856000	48.224000	55.725000	
35.000000	0.009229	1.918000	45.335000	54.324000	1.865000	48.182000	55.656000	
36.000000	0.009187	1.909000	45.450000	54.306000	1.872000	46.916000	54.719000	
37.000000	0.009144	1.904000	46.082000	54.714000	1.854000	48.810000	56.350000	
38.000000	0.009100	1.898000	46.676000	55.149000	1.834000	50.517000	57.078000	
39.000000	0.009055	1.880000	47.091000	55.984000	1.819000	50.762000	58.119000	
40.000000	0.009008	1.875000	47.402000	56.223000	1.789000	52.523000	59.958000	
41.000000	0.008961	1.868000	48.525000	57.164000	1.821000	52.145000	58.675000	
42.000000	0.008913	1.868000	48.687000	57.049000	1.791000	51.562000	59.022000	
43.000000	0.008864	1.851000	49.632000	58.381000	1.788000	51.958000	59.507000	
44.000000	0.008814	1.852000	49.700000	58.256000	1.852000	49.249000	56.211000	
45.000000	0.008763	1.832000	50.637000	58.904000	1.800000	51.779000	58.952000	
46.000000	0.008711	1.834000	50.576000	58.789000	1.758000	55.061000	61.728000	
